object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
leather,resnet50,imagenet1k_v2,False,layer4,"[245, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 28},0.990828804347826,0.8629074096679688,0.8032333850860596
metal_nut,resnet50,imagenet1k_v2,False,layer3,"[220, 200704]",sklearn.svm.OneClassSVM,"{'degree': 8, 'kernel': 'poly'}",0.935483870967742,1.829005241394043,0.7732775211334229
metal_nut,resnet50,imagenet1k_v2,True,layer3,"[1320, 200704]",sklearn.svm.OneClassSVM,"{'degree': 13, 'kernel': 'poly'}",0.9345063538611926,59.98171782493591,4.156510829925537
metal_nut,resnet50,imagenet1k_v2,False,layer3,"[220, 200704]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9340175953079178,1.7229275703430176,0.6516225337982178
metal_nut,resnet50,imagenet1k_v2,False,layer3,"[220, 200704]",sklearn.svm.OneClassSVM,"{'degree': 13, 'kernel': 'poly'}",0.9320625610948191,2.044722318649292,0.949655294418335
metal_nut,resnet50,imagenet1k_v2,True,layer3,"[1320, 200704]",sklearn.svm.OneClassSVM,"{'degree': 8, 'kernel': 'poly'}",0.9320625610948191,56.49816703796387,3.51273775100708
metal_nut,resnet50,imagenet1k_v2,True,layer3,"[1320, 200704]",sklearn.svm.OneClassSVM,"{'degree': 21, 'kernel': 'poly'}",0.9310850439882699,67.95374703407288,5.656767129898071
metal_nut,resnet50,imagenet1k_v2,False,layer3,"[220, 200704]",sklearn.svm.OneClassSVM,"{'degree': 21, 'kernel': 'poly'}",0.9296187683284457,2.0933167934417725,1.0347466468811035
metal_nut,resnet50,imagenet1k_v2,True,layer3,"[1320, 200704]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9286412512218964,54.82400560379028,3.2197062969207764
metal_nut,resnet50,imagenet1k_v2,False,layer3,"[220, 200704]",sklearn.svm.OneClassSVM,"{'degree': 3, 'kernel': 'poly'}",0.927663734115347,1.6742041110992432,0.6045870780944824
metal_nut,resnet50,imagenet1k_v2,True,layer3,"[1320, 200704]",sklearn.svm.OneClassSVM,"{'degree': 34, 'kernel': 'poly'}",0.9266862170087977,70.2932116985321,6.066019535064697
pill,resnet50,imagenet1k_v2,False,layer2,"[267, 401408]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.944899072558647,3.6040520668029785,3.2139053344726562
pill,resnet50,imagenet1k_v2,True,layer2,"[1602, 401408]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.944899072558647,16.339823007583618,4.22646689414978
pill,resnet50,imagenet1k_v2,False,layer2,"[267, 401408]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9427168576104746,3.6186776161193848,3.218714714050293
pill,resnet50,imagenet1k_v2,True,layer2,"[1602, 401408]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9427168576104746,16.463799715042114,4.117598056793213
pill,resnet50,imagenet1k_v2,False,layer3,"[267, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.933442444080742,1.8463265895843506,1.661107063293457
pill,resnet50,imagenet1k_v2,True,layer3,"[1602, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.933442444080742,8.166548013687134,2.116443634033203
pill,vit_base_16,imagenet1k_v1,False,layer3,"[267, 151296]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9296235679214403,1.1451151371002197,1.014660358428955
pill,resnet50,imagenet1k_v2,False,layer3,"[267, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9296235679214403,1.8300471305847168,1.6278777122497559
pill,resnet50,imagenet1k_v2,True,layer3,"[1602, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9296235679214403,8.174845457077026,2.1265132427215576
pill,vit_base_16,imagenet1k_v1,True,layer3,"[1602, 151296]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9296235679214403,5.786298751831055,1.4308462142944336
screw,vit_base_32,random,False,layer0,"[320, 38400]",sklearn.svm.OneClassSVM,{'kernel': 'rbf'},1.0,0.44098806381225586,0.614800214767456
